Matice nejužších cest:
        A    B    C    D    E    F    G    H    I    J    K    L    M    N
  A     inf   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00
  B     inf    inf    inf    inf   6.00    inf    inf    inf   1.00   1.00   1.00   1.00   1.00   1.00
  C    1.00   1.00    inf   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00
  D    1.00   1.00   1.00    inf   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00
  E     inf    inf    inf    inf    inf    inf    inf    inf   1.00   1.00   1.00   1.00   1.00   1.00
  F    1.00   1.00   1.00   1.00   1.00    inf   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00
  G    1.00   1.00   1.00   1.00   1.00   1.00    inf   1.00   1.00   1.00   1.00   1.00   1.00   1.00
  H    3.00   3.00   3.00   3.00   3.00   1.00   3.00    inf   1.00   1.00   1.00   1.00   1.00   1.00
  I     inf    inf    inf    inf    inf    inf    inf    inf    inf   5.00   4.00   3.00   3.00   3.00
  J     inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   4.00   4.00    inf
  K     inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   3.00   3.00   3.00
  L     inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf
  M     inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   5.00    inf    inf
  N     inf    inf    inf    inf    inf    inf    inf    inf    inf    inf    inf   3.00   3.00    inf

