,A,B,C,D,E,F,G,H,I,J,K,L,M,N
A,inf,5.0,8.0,10.0,9.0,6.0,8.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0
B,-inf,inf,-inf,-inf,6.0,-inf,-inf,-inf,1.0,1.0,1.0,1.0,1.0,1.0
C,3.0,5.0,inf,3.0,7.0,6.0,9.0,9.0,1.0,1.0,1.0,8.0,1.0,1.0
D,9.0,5.0,8.0,inf,9.0,6.0,8.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0
E,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,1.0,1.0,1.0,1.0,1.0,1.0
F,3.0,5.0,7.0,3.0,7.0,inf,7.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0
G,3.0,5.0,10.0,3.0,7.0,6.0,inf,9.0,1.0,1.0,1.0,8.0,1.0,1.0
H,3.0,5.0,6.0,3.0,6.0,6.0,6.0,inf,1.0,1.0,1.0,8.0,1.0,1.0
I,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,5.0,4.0,5.0,4.0,3.0
J,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,6.0,4.0,-inf
K,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,3.0,3.0,3.0
L,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,-inf
M,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,5.0,inf,-inf
N,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3.0,3.0,inf
