Matice nejširších cest:
        A    B    C    D    E    F    G    H    I    J    K    L    M    N
  A     inf   5.00   8.00  10.00   9.00   6.00   8.00   8.00   1.00   1.00   1.00   8.00   1.00   1.00
  B    -inf    inf   -inf   -inf   6.00   -inf   -inf   -inf   1.00   1.00   1.00   1.00   1.00   1.00
  C    3.00   5.00    inf   3.00   7.00   6.00   9.00   9.00   1.00   1.00   1.00   8.00   1.00   1.00
  D    9.00   5.00   8.00    inf   9.00   6.00   8.00   8.00   1.00   1.00   1.00   8.00   1.00   1.00
  E    -inf   -inf   -inf   -inf    inf   -inf   -inf   -inf   1.00   1.00   1.00   1.00   1.00   1.00
  F    3.00   5.00   7.00   3.00   7.00    inf   7.00   7.00   1.00   1.00   1.00   7.00   1.00   1.00
  G    3.00   5.00  10.00   3.00   7.00   6.00    inf   9.00   1.00   1.00   1.00   8.00   1.00   1.00
  H    3.00   5.00   6.00   3.00   6.00   6.00   6.00    inf   1.00   1.00   1.00   8.00   1.00   1.00
  I    -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf    inf   5.00   4.00   5.00   4.00   3.00
  J    -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf    inf   -inf   6.00   4.00   -inf
  K    -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf    inf   3.00   3.00   3.00
  L    -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf    inf   -inf   -inf
  M    -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   5.00    inf   -inf
  N    -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   -inf   3.00   3.00    inf

